dataset	training_triples	testing_triples	validation_triples	total_triples	error_rate	time	size	natural_size	training	training_time	testing	testing_time	validation	validation_time
wn18rr	86835	2924	2824	92583	0.2	0.0026799172600004795	290883	36.4 kB	1.0	0.0026069348900000476	0.2158	0.00030480432100000597	0.20255	0.00029803404300002967
wn18rr	86835	2924	2824	92583	0.1	0.003498714380000365	416160	52.0 kB	1.0	0.003412160560000075	0.10568	0.0004132233939999992	0.09667	0.0004976246059999312
wn18rr	86835	2924	2824	92583	0.01	0.005714952840000933	832319	104.0 kB	1.0	0.006966763020000144	0.0106	0.0006277678860000151	0.00708	0.0006076852420000022
wn18rr	86835	2924	2824	92583	0.001	0.007736788639999759	1248478	156.1 kB	1.0	0.007735217140000259	0.00103	0.000857990789999917	0.00142	0.0008307694979999951
wn18rr	86835	2924	2824	92583	0.0001	0.010877704450001602	1664638	208.1 kB	1.0	0.011216887399999109	0.00034	0.0011594384149998405	0.00035	0.0011400221649998344
wn18rr	86835	2924	2824	92583	1e-05	0.013107234899999298	2080797	260.1 kB	1.0	0.01298367560000031	0.0	0.0014149691500000472	0.0	0.0014020555999999828
yago310	1079040	4982	4978	1089000	1.0	0.0071460822200003805	0	0 Bytes	1.0	0.00785388897999951	1.0	8.929835039999716e-05	1.0	0.00010020559849999699
yago310	1079040	4982	4978	1089000	0.8	0.02957362089999833	501154	62.6 kB	1.0	0.026715625700001057	0.88278	0.0002356616659999986	0.8865	0.00023361454000001914
yago310	1079040	4982	4978	1089000	0.6	0.030339978300003168	1147254	143.4 kB	1.0	0.0250389508000012	0.61903	0.00020609763999999587	0.59642	0.00020772388700004285
yago310	1079040	4982	4978	1089000	0.5	0.046479252800008905	1556726	194.6 kB	1.0	0.043002166000007946	0.55961	0.00032600495299999464	0.56669	0.0003176157159999775
yago310	1079040	4982	4978	1089000	0.2	0.06434414840000499	3614606	451.8 kB	1.0	0.057361582999999425	0.20514	0.00043332448600006047	0.19646	0.00043670690399994785
yago310	1079040	4982	4978	1089000	0.1	0.08567772979999973	5171331	646.4 kB	1.0	0.07612087620000238	0.10197	0.0005553629099999853	0.09361	0.0005651557459999594
yago310	1079040	4982	4978	1089000	0.01	0.14137538150001205	10342662	1.3 MB	1.0	0.15905619049999586	0.00984	0.0010597095750000563	0.00984	0.001018164114000001
yago310	1079040	4982	4978	1089000	0.001	0.22432444000003215	15513993	1.9 MB	1.0	0.2109237250000433	0.0012	0.001347801489999938	0.0008	0.0013281226050000329
yago310	1079040	4982	4978	1089000	0.0001	0.3128610929999809	20685323	2.6 MB	1.0	0.32518667199997253	0.0	0.0020061161499995706	0.0	0.0028685060999998767
yago310	1079040	4982	4978	1089000	1e-05	0.41118381299997964	25856654	3.2 MB	1.0	0.5472033050000391	0.0	0.006126443780000272	0.0	0.005129875559999846
dbpedia50	32203	2095	123	34421	1.0	0.0003914979819999758	0	0 Bytes	1.0	0.00028160810200000694	1.0	4.7837647399990146e-05	1.0	1.1708168249998608e-05
dbpedia50	32203	2095	123	34421	0.8	0.0008987285860000611	14957	1.9 kB	1.0	0.0008705039079999324	0.88687	0.000106337163500001	0.87805	4.9355040399996144e-05
dbpedia50	32203	2095	123	34421	0.6	0.0008886585419999165	34239	4.3 kB	1.0	0.0008724679700000024	0.62578	0.00010777818700000807	0.65854	4.817625599999928e-05
dbpedia50	32203	2095	123	34421	0.5	0.0015058926550000251	46460	5.8 kB	1.0	0.001467684229999975	0.57184	0.00016715603400001554	0.52846	8.412471939999477e-05
dbpedia50	32203	2095	123	34421	0.2	0.0020522385699996448	107875	13.5 kB	1.0	0.0019875071549998323	0.21575	0.00023506504900001345	0.22764	0.00011801019399999291
dbpedia50	32203	2095	123	34421	0.1	0.0026543345100003535	154334	19.3 kB	1.0	0.0025344013600005154	0.13031	0.0002960779309999566	0.14634	0.0001476352514999917
dbpedia50	32203	2095	123	34421	0.01	0.004411832839999761	308668	38.6 kB	1.0	0.004210652200000596	0.02625	0.00048492103199998835	0.03252	0.00024998865800000657
dbpedia50	32203	2095	123	34421	0.001	0.006208432380000204	463002	57.9 kB	1.0	0.005830541020000055	0.01909	0.0006820986019999964	0.01626	0.0003406377640000073
dbpedia50	32203	2095	123	34421	0.0001	0.008688806299999215	617336	77.2 kB	1.0	0.007977129580000337	0.01909	0.0009344986219999783	0.01626	0.0004725918719999527
dbpedia50	32203	2095	123	34421	1e-05	0.010578483149998874	771670	96.5 kB	1.0	0.009988078879999876	0.01862	0.0011487687350000898	0.01626	0.0005642963139999893
